id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
170;244;Income distribution;Income distribution;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
137;245;Problematic debts;Problematic debts;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
26;246;Unemployed youths;Unemployed youths;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal Opportunities;11_BBV;Economic
225;247;Number of full-time programs Topsport Amsterdam | TeamNL Center;Number of full-time programs Topsport Amsterdam | TeamNL Center;Quality of Life;Work Life Balance;Sports;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
20;248;Unemployment;Unemployment;Quality of Life;Labour;Employment rate;Here and now;;;;City;Equal Opportunities;2_BWMRA;Economic
138;249;Problematic debts self-rep;Problematic debts self-report;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Stadsdeel;Equal Opportunities;1_StaatVDS;Economic
33;250;% vulnerable households finding housing within 3 months: status holders, MOBW and socially medical urgents;% vulnerable households finding housing within 3 months: status holders, MOBW and socially medical urgents;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
191;251;Number of project grants provided by the Amsterdam Fund for the Arts;Number of project grants provided by the Amsterdam Fund for the Arts;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
178;252;Number of public-private partnerships ((MBO) education-business-government);Number of public-private partnerships ((MBO) education-business-government);Human Capital;Education;Education expenditures;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
305;253;Number of youth care pathways that wait or have waited longer for start care than 6 weeks: - single specialist, - highly specialized;Number of youth care pathways that wait or have waited longer for start care than 6 weeks: - single specialist, - highly specialized;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
194;254;Number of square meters of incubator, studios and studio housing extended;Number of square meters of incubator, studios and studio housing extended;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
21;255;Low income no control life;Low income - No self life control;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;;Adverse Outcome;People;;Equal Opportunities;4_Stadsdonut;Social
40;256;Houses for professional groups;Number of dwellings to professional groups;Human Capital;Labour;Brain drain;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
198;257;Metrage of incubators included in published tender documents;Metrage of incubators included in published tender documents;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
50;258;Social assistance;Social assistance;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
73;259;Transport poverty;Transport poverty;Quality of Life;Transport;Transport;Here and now;;;;;Equal Opportunities;9_SDGs;Social
15;260;Unemployment labor force;Unemployment - labor force;Human Capital;Labour;Distribution-Labour-;Here and now;Strategic;System Condition;Population;City;Equal Opportunities;5_EVMRA;Economic
206;261;Holidays year;Holidays year;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
164;262;Tension indicator labor market;Tension indicator labor market;Quality of Life;Labour;Unemployment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Economic
303;263;Client Experience Youth: average overarching rating of usefulness of specialized youth care;Client Experience Youth: average overarching rating of usefulness of specialized youth care;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
163;264;Average rating of amenity offerings by residents;Average rating of amenity offerings by residents;Quality of Life;Consumption and Income;Subjective-material;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
68;265;Low-educated;Low-educated population;Quality of Life;Education;Educational attainment;Here and now;;Adverse Outcome;Population;;Equal Opportunities;6_RMBW;Social
131;266;Primary Students;Primary students;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Social
3;267;Vulnerable population;Vulnerable population;Quality of Life;Health;Chronic diseases;Here and now;;;;;Equal Opportunities;9_SDGs;Social
310;268;Average number of unique clients per month AIO (Pgb) (Zin);Average number of unique clients per month AIO (Pgb) (Zin);Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
111;269;MH: Down and pessimistic;Mental health: number of people feeling down and pessimistic;Quality of Life;Health;Mental health;Here and now;;Adverse Outcome;People;City;Equal Opportunities;1_StaatVDS;Social
3;270;Unemployment rate;Unemployment rate;Human Capital;Labour;Unemployment;Here and now;Strategic;System Condition;Population;City;Equal Opportunities;5_EVMRA;Economic
1;271;Satisfaction life;Satisfaction with life;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;Strategic;System Condition;Index;;Equal Opportunities;6_RMBW;Social
167;272;Disability benefits;Unemployed labor force: Disability benefits;Quality of Life;Health;Disability;Here and now;;Value Creation ;People;City;Equal Opportunities;1_StaatVDS;Social
26;273;Digital resources availability;Digital resources availability;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Index;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
320;274;Average length of stay in the MOBW in days on survey date Dec. 1;Average length of stay in the MOBW in days on survey date Dec. 1;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
323;275;Number of undocumented persons for whom a durable solution has been found;Number of undocumented persons for whom a durable solution has been found;Quality of Life;Health;Health care facilities;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
237;276;All toddlers attend preschool. Percentage of toddlers reached;All toddlers attend preschool. Percentage of toddlers reached;Human Capital;Education;Participation in education;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
4;277;Migration background;Migration background;Quality of Life;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
148;278;MBO Grad Job;MBO Grad Job;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
307;279;The average waiting time for MOBW in months at survey date Dec. 1;The average waiting time for MOBW in months at survey date Dec. 1;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
31;280;Life satis-housing situation;Life satisfaction - Your housing situation;Quality of Life;Housing;Subjective-Housing;Here and now;;System Condition;Index;;Equal Opportunities;1_StaatVDS;Social
178;281;Free public transport;;Quality of Life;Transport;Transport;Here and now;;System Condition;Households;;Equal Opportunities;1_StaatVDS;Social
172;282;Household debt ;Household debt;Quality of Life;Consumption and Income;Debt;Here and now;;System Condition;Monetary;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
32;283;Life satis-social position;Life satisfaction - Your social position;Social Capital;Social Connections;Bridging social capital;Here and now;;System Condition;Index;;Equal Opportunities;1_StaatVDS;Social
10;284;Neigh.rating;Neighbourhood rating;Quality of Life;Social Connections;Generalised trust;Here and now;Tactical;System Condition;Index;Neighborhood;Equal Opportunities;4_Stadsdonut;Social
13;285;Culture children;culture for children;Quality of Life;Work Life Balance;Time use;Here and now;;Value Creation ;People;;Equal Opportunities;4_Stadsdonut;Social
39;286;Housed status holders;Number of housed status holders;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
145;287;Diploma VMBO-HAVO-VWO;Diploma VMBO-HAVO-VWO;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
2;288;Well-being Index;Personal Well-being Index;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;Strategic;System Condition;Index;;Equal Opportunities;6_RMBW;Social
175;289;Ratio of the number of unemployed to the number of vacancies;Ratio of the number of unemployed to the number of vacancies;Human Capital;Labour;Employment rate;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
276;290;Proportion of most vulnerable residents based on vulnerability score.;Proportion of most vulnerable residents based on vulnerability score.;Quality of Life;Social Connections;Bridging social capital;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
319;291;Number of clients in the MOBW as of December 31.;Number of clients in the MOBW as of December 31.;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
190;292;Number of subsidized cultural institutions;Number of subsidized cultural institutions;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
153;293;HBO-WO graduates;HBO-WO graduates;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
30;294;Life satis-education;Life satisfaction - The education you received;Quality of Life;Education;Subjective-education;Here and now;;System Condition;Index;;Equal Opportunities;1_StaatVDS;Social
27;295;Representation women in city organization;Representation women in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
186;296;Number of students transported by bus or boat to cultural institutions;Number of students transported by bus or boat to cultural institutions;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
152;297;School leavers;Early school leavers;Quality of Life;Education;Participation in education;Here and now, Later;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
200;298;Digital freedom;Digital freedom;Quality of Life;Institutional;Trust in institutions;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Social
7;299;Level education;Level of education;Human Capital;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
45;300;Youth unemployment;Youth unemployment;Human Capital;Labour;Unemployment;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
61;301;TOZO;Use TOZO financial benefit during corona;Social Capital;Social Connections;Bridging social capital;Here and now;;System Condition;Monetary;City;Equal Opportunities;1_StaatVDS;Social
130;302;School weighting;School weighting;Quality of Life;Education;Educational attainment;Here and now, Later;;System Condition;Index;City;Equal Opportunities;1_StaatVDS;Social
6;303;Healthy life exp. men;Healthy life expectancy men;Quality of Life;Health;Life expectancy;Here and now, Later;Strategic;System Condition;Time;;Equal Opportunities;6_RMBW;Social
176;304;"Number of registered job seekers
basic education
vmb0/mbo alg/mbo1
havo/vwo
mbo level 2 to 4
hbo
wo";"Number of registered job seekers
basic education
vmb0/mbo alg/mbo1
havo/vwo
mbo level 2 to 4
hbo
wo";Human Capital;Labour;Labour force;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
179;305;Inflow of international (knowledge) workers through IN Amsterdam;Inflow of international (knowledge) workers through IN Amsterdam;Human Capital;Labour;Migration;Here and Now, Elsewhere;;;;City;Equal Opportunities;10_DBoom;Economic
19;306;House size fit;House size fit;Quality of Life;Housing;Quality of housing;Here and now;;System Condition;Index;Neighborhood;Equal Opportunities;1_StaatVDS;Social
26;307;Representation women in administration;Representation women in administration;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
36;308;Municipal housing costs single-person household;Municipal housing costs single-person household;Quality of Life;Housing;Subjective-Affordability;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
308;309;Average number of clients per month Day care (Pgb) (Zin);Average number of clients per month Day care (Pgb) (Zin);Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
16;310;Satisfaction home;Satisfaction with home;Quality of Life;Housing;Quality of housing;Here and now;Strategic;System Condition;Index;;Equal Opportunities;6_RMBW;Social
5;311;Online vacancies;Number of online vacancies;Human Capital;Labour;Workplaces-Vacancies;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
15;312;New homes;New homes built per 1,000 existing homes;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
112;313;MH: Calm and at ease;Mental health: number of people feeling calm and at ease;Quality of Life;Health;Mental health;Here and now;;;;;Equal Opportunities;1_StaatVDS;Social
8;314;Sex;Sex;Human Capital;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
23;315;Social assistance;Number of persons on unemployment benefit and social assistance in region;Quality of Life;Labour;Unemployment;Here and now;;;;Regional;Equal Opportunities;8_Duurzame;Economic
114;316;Fear-Stress-Gloom;people feeling of fear, stress and gloom;Quality of Life;Health;Mental health;Here and now;;Adverse Outcome;People;City;Equal Opportunities;1_StaatVDS;Social
16;317;Vacancies teaching school;Vacancies teaching school;Quality of Life;Education;Distribution-Education;Here and now;;Value Creation ;People;;Equal Opportunities;4_Stadsdonut;Social
459;318;The number of neighborhood justice trajectories in process;The number of neighborhood justice trajectories in process;Social Capital;Institutional;Social justice;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
15;319;Housing rental prices;Housing rental prices;Quality of Life;Housing;Housing affordability;Here and now;;System Condition;Monetary;Neighborhood;Equal Opportunities;1_StaatVDS;Social
142;320;Poverty food bank;Poverty food bank;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
33;321;Life satis-Dutch society;Life satisfaction - Dutch society;Quality of Life;Social Connections;Life satisfaction;Here and now;;System Condition;Index;;Equal Opportunities;1_StaatVDS;Social
126;322;SE Schools;Schools for special education;Quality of Life;Education;Participation in education;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
7;323;Social assistence;Social assistence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
309;324;Average number of clients per month Household assistance (Pgb) (Zin);Average number of clients per month Household assistance (Pgb) (Zin);Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
313;325;"Number of Housing and Transportation Facilities:
- Moving allowance, Living space modifications and Movable housing facilities.
-Bicycles, Play Facilities, Mobility Scooters, , Closed Outdoor Vehicle, Cars and Wheelchairs";"Number of Housing and Transportation Facilities:
- Moving allowance, Living space modifications and Movable housing facilities.
-Bicycles, Play Facilities, Mobility Scooters, , Closed Outdoor Vehicle, Cars and Wheelchairs";Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
154;326;HBO-WO institutions;HBO-WO institutions;Social Capital;Institutional;Distribution-Institutions;Here and now;;System Condition;Building Units;City;Equal Opportunities;1_StaatVDS;Social
163;327;ZZPERS;Self employed;Quality of Life;Labour;Employment rate;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Economic
6;328;Accessibility;Accessibility;Quality of Life;Transport;Accessibility;Here and now;;;;City;Equal Opportunities;2_BWMRA;Social
4;329;Social housing reg.;Social housing registration;Quality of Life;Housing;Housing stock;Here and now;;Value Creation ;Units;;Equal Opportunities;4_Stadsdonut;Social
129;330;School Motives PS14;School choose motives primary schools pupils 14;Quality of Life;Education;Participation in education;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
39;331;Rental prices;Rental prices;Quality of Life;Housing;Housing affordability;Here and now, Later;Tactical;Adverse Outcome;Monetary;Neighborhood;Equal Opportunities;5_EVMRA;Social
187;332;Number of children and youth from the target group (less than 120% of the WSM (Statutory Social Minimum)) reached by non-school related activities through the Youth Culture Fund;Number of children and youth from the target group (less than 120% of the WSM (Statutory Social Minimum)) reached by non-school related activities through the Youth Culture Fund;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
314;333;Number of billable kilometers Supplemental Public Transportation;Number of billable kilometers Supplemental Public Transportation;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
17;334;Satisfaction home;Satisfaction with home;Quality of Life;Housing;Subjective;Here and now;;System Condition;Units;Neighborhood;Equal Opportunities;1_StaatVDS;Social
28;335;Women managers in city organization;Women managers in city organization;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
41;336;Discrimination;Discrimination;Social Capital;Institutional;Social justice;Here and now;;;;;Equal Opportunities;9_SDGs;Social
168;337;Unemployment benefits;Unemployed labor force: Unemployment benefits;Quality of Life;Labour;Unemployment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Economic
3;338;Control own life;Experienced control over one's own life;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;Strategic;System Condition;Index;;Equal Opportunities;6_RMBW;Social
15;339;Quality housing;Quality of housing;Quality of Life;Housing;Quality of housing;Here and now;Strategic;System Condition;Index;Neighborhood;Equal Opportunities;6_RMBW;Social
321;340;Number of re-enrollees after leaving MOBW by year;Number of re-enrollees after leaving MOBW by year;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
13;341;Construction type;Construction type (housing stock);Quality of Life;Housing;Housing stock;Here and now;;System Condition;Units;Neighborhood;Equal Opportunities;1_StaatVDS;Social
189;342;Number of subsidized neighborhood arts and cultural activities;Number of subsidized neighborhood arts and cultural activities;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
203;343;Number of program makers using Publieke Omroep's Open Access channels;Number of program makers using Publieke Omroep's Open Access channels;Economic Capital;Physical Capital;ICT;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Economic
189;344;Satisfaction IO;Satisfaction indoor outdoor with leisure activities;Quality of Life;Work Life Balance;Subjective-Leisure;Here and now;;System Condition;People;Neighborhood;Freedom and Open-minded;1_StaatVDS;Social
24;345;Experienced racism;Residents experiencing racism;Social Capital;Social Connections;Bridging social capital;Here and now;;Adverse Outcome;People;;Freedom and Open-minded;4_Stadsdonut;Social
201;346;Number of viewers local media averages per month;Number of viewers local media averages per month;Human Capital;Education;Lifelong learning;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Economic
16;347;Control over own life;Control over own life;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;;;;City;Freedom and Open-minded;2_BWMRA;Social
56;348;Experienced discrimination;Experienced discrimination;Social Capital;Institutional;Social justice;Here and now;;;;;Freedom and Open-minded;9_SDGs;Social
333;349;Number of sex workers reached;Number of sex workers reached;Quality of Life;Health;Health care facilities;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Social
29;350;Life satis--Friends;Life satisfaction (Friends and Aquaitances);Quality of Life;Subjective Well-Being;Family/Friends;Here and now;;System Condition;Index;;Freedom and Open-minded;1_StaatVDS;Social
26;351;Discriminationality;Discrimination on the basis of nationality;Social Capital;Social Connections;Bridging social capital;Here and now;;Adverse Outcome;People;;Freedom and Open-minded;4_Stadsdonut;Social
188;352;Discrimination;Discrimination feeling;Social Capital;Social Connections;Bridging social capital;Here and now;;Adverse Outcome;People;City;Freedom and Open-minded;1_StaatVDS;Social
68;353;Satisfaction with bike ride ;Satisfaction with bike ride ;Quality of Life;Transport;Subjective-Mobility;Here and now, Later;;;;City;Freedom and Open-minded;10_DBoom;Social
202;354;Number of unique visitors website and app local media average per month;Number of unique visitors website and app local media average per month;Economic Capital;Physical Capital;ICT;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Economic
200;355;Percentage of Amsterdam residents who regularly inform themselves through local public broadcasting services;Percentage of Amsterdam residents who regularly inform themselves through local public broadcasting services;Human Capital;Education;Lifelong learning;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Economic
25;356;Discrimination ethnicity;Discrimination based on ethnicity or skin colour;Social Capital;Social Connections;Bridging social capital;Here and now;;Adverse Outcome;People;;Freedom and Open-minded;4_Stadsdonut;Social
27;357;Happiness;Happiness;Quality of Life;Subjective Well-Being;Happiness;Here and now;;System Condition;Index;Neighborhood;Freedom and Open-minded;1_StaatVDS;Social
44;358;Feel discrimination;Feelings of discrimination;Social Capital;Social Connections;Bridging social capital;Here and now;;Adverse Outcome;Population;;Freedom and Open-minded;6_RMBW;Social
71;359;Satisfaction bicycle use;Satisfaction bicycle use;Quality of Life;Transport;Subjective-Mobility;Here and now;;;;;Freedom and Open-minded;9_SDGs;Social
58;360;Foreign migrants;Foreign migrants;Quality of Life;Labour;Migration;Here and Now, Elsewhere;;;;;Freedom and Open-minded;9_SDGs;Economic
196;361;Weekly sports;Weekly sports;Quality of Life;Work Life Balance;Sports;Here and now;;System Condition;People;Neighborhood;Freedom and Open-minded;1_StaatVDS;Social
57;362;Discrimination incidents;Discrimination incidents;Social Capital;Institutional;Social justice;Here and now;;;;;Freedom and Open-minded;9_SDGs;Social
406;363;Number of Persons in Direction of Radicalization (IPGA-R).;Number of Persons in Direction of Radicalization (IPGA-R).;Quality of Life;Safety;Safety;Here and now;;;;City;Freedom and Open-minded;10_DBoom;Social
378;364;Percentage of Amsterdam residents with debt who have problems with it;Percentage of Amsterdam residents with debt who have problems with it;Quality of Life;Consumption and Income;Debt;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
161;365;Mix of jobs/functions;Percentage of job mix ratio between jobs and housing ;Economic Capital;Physical Capital;Capital stock;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
90;366;City procurement;City procurement;Economic Capital;Financial Capital;Investments;Here and Now, Elsewhere;;;;;Progress and Creativity;9_SDGs;Economic
156;367;"Amsterdam/MRA's place on Financial Times' ""European Cities and Regions of the Future"" ranking";"Amsterdam/MRA's place on Financial Times' ""European Cities and Regions of the Future"" ranking";Economic Capital;Knowledge Capital;Stock of knowledge capital;Here and Now, Elsewhere;;;;City;Progress and Creativity;10_DBoom;Economic
37;368;Economic participation per gender;Economic participation per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
31;369;Physical Cap. Inventory;Physical Capital Goods Inventory;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
19;370;Mortality;Mortality;Quality of Life;Labour;Demographic changes;Here and now;;System Condition;Population;Neighborhood;Progress and Creativity;5_EVMRA;Economic
49;371;Economic independence per type;Economic independence per type;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
63;372;Average housing price;Average housing price;Quality of Life;Housing;Housing cost;Here and now;;;;;Progress and Creativity;9_SDGs;Social
40;373;Economic independence;Economic independence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
39;374;Hourly wages per gender;Hourly wages per gender;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
61;375;Total housing stock;Total housing stock;Quality of Life;Housing;Housing stock;Here and now;;;;;Progress and Creativity;9_SDGs;Social
32;376;Knowledge Cap.Inventory;Knowledge Capital Goods Inventory;Economic Capital;Knowledge Capital;Stock of knowledge capital;Here and now, Later;;Value Creation ;Monetary;;Progress and Creativity;6_RMBW;Economic
25;377;Disadvantaged Students;Disadvantaged Students;Human Capital;Education;Educational attainment;Here and now;;;;;Progress and Creativity;11_BBV;Economic
14;378;Mix of jobs_functions;Mix of jobs/functions;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;;Progress and Creativity;11_BBV;Economic
58;379;Economic growth ;Economic growth ;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;System Condition;Monetary;;Progress and Creativity;1_StaatVDS;Economic
12;380;Labor force age;Labor force - age;Human Capital;Labour;Distribution-Labour-;Here and now, Later;Strategic;System Condition;Population;City;Progress and Creativity;5_EVMRA;Economic
469;381;Apparatus costs: Cost per capita ;Apparatus costs: Cost per capita ;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
79;382;Expenditure-money reserved;Expenditure: money reserved;Economic Capital;Financial Capital;Deficit/Surplus;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
46;383;Standardized income;Standardized income;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
51;384;Imports-LDC;Total imports from LDCs;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
76;385;Government debt;Government debt;Economic Capital;Financial Capital;Government debt;Here and now, Later;;Adverse Outcome;Monetary;;Progress and Creativity;6_RMBW;Economic
248;386;Percentage of students from practical education, secondary special education, vmbo-basic or entree education who transfer to work or further education;Percentage of students from practical education, secondary special education, vmbo-basic or entree education who transfer to work or further education;Human Capital;Education;Educational attainment;Here and now;;;;;Progress and Creativity;10_DBoom;Economic
48;387;Imports goods-America;Imports of goods from America;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
431;388;Solvency > 20%;Solvency > 20%;Economic Capital;Financial Capital;Net assets/liabilities;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
53;389;Transfers;transfers;Economic Capital;Financial Capital;Net assets/liabilities;Elsewhere;;Value Creation ;Monetary;;Progress and Creativity;6_RMBW;Economic
159;390;Volume of external investment in Amsterdam companies in sustainable growth sectors;Volume of external investment in Amsterdam companies in sustainable growth sectors;Economic Capital;Financial Capital;Investments;Here and Now, Elsewhere;;;;City;Progress and Creativity;10_DBoom;Economic
67;391;Staff MBO;Background of staff with mbo diploma,%mbo1,%mbo2,%mbo3,%mbo4;Quality of Life;Education;Educational attainment;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
259;392;Absolute absenteeism (number per 1,000 pupils);Absolute absenteeism (number per 1,000 pupils);Human Capital;Education;Participation in education;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
6;393;Migration;Migration (internal/abroad);Quality of Life;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Progress and Creativity;1_StaatVDS;Economic
51;394;Enrollments social science;Social Sciences enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
36;395;Jobs in energy and circularity;Jobs in energy and circularity;Economic Capital;Physical Capital;Capital stock;Here and Now, Elsewhere;;;;;Progress and Creativity;9_SDGs;Economic
24;396;Domestic Immigration;Domestic Immigration;Human Capital;Labour;Migration;Here and now;;System Condition;Population;Neighborhood;Progress and Creativity;5_EVMRA;Economic
65;397;Savings banks NL;Savings at banks in the Netherlands;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;System Condition;Monetary;;Progress and Creativity;6_RMBW;Economic
24;398;Social assistance - sustainability exp - 1;Number of people on unemployment or social assistance in region with work experience in the sustainability sector;Quality of Life;Labour;Unemployment;Here and now, Later;;;;Regional;Progress and Creativity;8_Duurzame;Economic
57;399;Enrollments transports science;Transport Sciences and Logistics enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
75;400;Economic dependence exports;Economic dependence on exports;Economic Capital;Energy Resources;Energy dependency;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
18;401;Relative absence;Relative absence;Human Capital;Education;Participation in education;Here and now;;;;;Progress and Creativity;11_BBV;Economic
44;402;NEET;NEET;Human Capital;Education;Participation in education;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
73;403;labor force;labor force;Quality of Life;Labour;Distribution-Labour-;Here and now, Later;;System Condition;Population;;Progress and Creativity;6_RMBW;Economic
22;404;Shortage of teachers;Shortage of teachers;Human Capital;Labour;Labour force;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
430;405;Net debt ratio;Net debt ratio;Economic Capital;Financial Capital;Government debt;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
6;406;Added value;Added value;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;Value Creation ;Monetary;City;Progress and Creativity;5_EVMRA;Economic
371;407;Percentage of participants indicating progress on competencies related to basic skills;Percentage of participants indicating progress on competencies related to basic skills;Human Capital;Education;Basic competencies;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
