id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
54;189;Import fossil energy;Import of fossil energy carriers;Natural Capital;Energy Resources;Energy dependency;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
65;190;Sustainable energy measures taken by companies;Sustainable energy measures taken by companies;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Units;;Sustainability;1_StaatVDS;Environmental
67;191;Installed wind turbines;Total installed capacity of wind turbines;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Electric current;;Sustainability;1_StaatVDS;Environmental
2;192;Gas free-homes;Natural gas free-homes;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Population;Neighborhood;Sustainability;7_Klimaat;Environmental
43;193;Renewable energy;Renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;Resource Flow;Electric current;City;Sustainability;5_EVMRA;Environmental
66;194;Installed solar panels;Total installed capacity of solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Electric current;;Sustainability;1_StaatVDS;Environmental
68;195;Housing natural-gas free;Housing stock with natural-gas free;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Units;;Sustainability;1_StaatVDS;Environmental
61;196;Imports biomass-LDC;Imports of biomass from LDCs;Natural Capital;Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;197;Share of houses on heat-net;Share of houses on heat-net;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Growth;9_SDGs;Environmental
102;198;Materials transport modes Non-Energy;Materials per mode of transport-Non-Energy Resources;Natural Capital;Energy Resources;Consumption;Here and now;;Resource Flow;Mass;City;Sustainability;1_StaatVDS;Environmental
60;199;Import biomass;Import biomass;Natural Capital;Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;200;Installed capacity solar panels;Installed capacity solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
;201;Installed capacity solar panels;Installed capacity solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;202;Installed capacity wind energy;Installed capacity wind energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
3;203;Gas free-Kickoff;Natural gas free-Kickoff;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Population;Neighborhood;Sustainability;7_Klimaat;Environmental
72;204;Renewable energy;Renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Electric current;;Sustainability;6_RMBW;Environmental
17;205;Planned gas free neigh.;Planned gas free neighbourhoods;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;Project outcome;Resource Flow;People;Neighborhood;Sustainability;4_Stadsdonut;Environmental
;206;Renewable electricity;Renewable electricity;Natural Capital;Energy Resources;Renewable energy;;;;;;Sustainability;11_BBV;Environmental
;207;Share of homes with solar panels;Share of homes with solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
;208;Installed capacity wind energy;Installed capacity wind energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;209;Share of houses on heat-net;Share of houses on heat-net;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Growth;10_DBoom;Environmental
17;210;Share of renewable energy;Share of renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;City;Sustainability;2_BWMRA;Environmental
55;211;Import fossil energy -LDC;Import of fossil energy carriers from LDCs;Natural Capital;Energy Resources;Energy dependency;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;212;Share of homes with solar panels;Share of homes with solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;213;Distance to green;Distance to green;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;10_DBoom;Environmental
38;214;Nitrogen surplus;Nitrogen surplus;Natural Capital;Land and Ecosystems ;Soil quality;Here and now, Later;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
36;215;Green-blue space;Green-blue space, excluding regular agriculture;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;System Condition;Unit per capita;;Sustainability;6_RMBW;Environmental
62;216;Land footprint;Land footprint;Natural Capital;Land and Ecosystems ;Footprint;Elsewhere;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
32;217;Land use;Land use;Natural Capital;Land and Ecosystems ;Land;Here and now, Later;;System Condition;Lenght;Neighborhood;Sustainability;5_EVMRA;Environmental
87;218;Surface area green roofs;Surface area green roofs;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;;;Neighborhood;Sustainability;1_StaatVDS;Environmental
;219;Green space per capita;Green space per capita;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;9_SDGs;Environmental
84;220;Satisfaction green ;Satisfaction with green space;Natural Capital;Land and Ecosystems ;Subjective-Land and Ecosystems;Here and now;;;;Neighborhood;Safety;1_StaatVDS;Environmental
47;221;Schiphol land use;Schiphol land use;Natural Capital;Land and Ecosystems ;Terrestrial ecosystems;Here and now, Later;;Adverse Outcome;Lenght;City;Sustainability;5_EVMRA;Environmental
;222;Nature and forest area;Nature and forest area;Natural Capital;Land and Ecosystems ;Forest;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
43;223;Water Overfishing;Water Overfishing;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later, Elsewhere;Tactical;Adverse Outcome;Mass;National;Sustainability;4_Stadsdonut;Environmental
30;224;Land support biodiversity;Land support biodiversity;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;Tactical;Value Creation ;Lenght;City;Sustainability;4_Stadsdonut;Environmental
;225;Amount of green and trees;Amount of green and trees;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
85;226;Green space per house;Green space per house;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;;;City;Safety;1_StaatVDS;Environmental
;227;Green space per home;Green space per home;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;9_SDGs;Environmental
90;228;Flora and Fauna ;Status flora and fauna ;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;System Condition;Index;City;Sustainability;1_StaatVDS;Environmental
40;229;Livestock footprint;Livestock footprint;Natural Capital;Land and Ecosystems ;Footprint;Here and now, Later;;Adverse Outcome;Lenght;;Sustainability;4_Stadsdonut;Environmental
29;230;Land erosion protection;Land erosion protection;Natural Capital;Land and Ecosystems ;Land;Here and now, Later;Tactical;Value Creation ;Volume;National;Sustainability;4_Stadsdonut;Environmental
29;231;Satisfaction with green space;Satisfaction with green space;Natural Capital;Land and Ecosystems ;Land;Here and now;;;;City;Safety;2_BWMRA;Environmental
86;232;Amount of green roofs;Total amount of green roofs;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;Value Creation ;Units;Neighborhood;Sustainability;1_StaatVDS;Environmental
37;233;Phosphorus surplus;Phosphorus surplus;Natural Capital;Land and Ecosystems ;Soil quality;Here and now, Later;;Adverse Outcome;Mass;;Sustainability;6_RMBW;Environmental
;234;Green space per capita;Green space per capita;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;10_DBoom;Environmental
25;235;Managed nature;Managed nature in NNN;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;Tactical;System Condition;Lenght;;Sustainability;6_RMBW;Environmental
;236;Nature per capita;Nature per capita;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
28;237;Nitrogen deposition;Nitrogen deposition and land nature;Natural Capital;Land and Ecosystems ;Soil quality;Here and now, Later;;Adverse Outcome;Amount substance;;Sustainability;6_RMBW;Environmental
;238;Amount of green and trees;Amount of green and trees;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
;239;Forest area;Forest area;Natural Capital;Land and Ecosystems ;Forest;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
27;240;Fauna freshwater;Fauna of freshwater and swamp;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;System Condition;Index;;Sustainability;6_RMBW;Environmental
39;241;Fauna land;Fauna of the land;Natural Capital;Land and Ecosystems ;Species/Ecosystems;Here and now, Later;;System Condition;Index;;Sustainability;6_RMBW;Environmental
;242;Green space per home;Green space per home;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;10_DBoom;Environmental
39;243;Forestry footprint;Forestry footprint;Natural Capital;Land and Ecosystems ;Footprint;Here and now, Later;;Adverse Outcome;Lenght;;Sustainability;4_Stadsdonut;Environmental
;244;Distance to green;Distance to green;Natural Capital;Land and Ecosystems ;Land use;Here and now;;;;;Sustainability;9_SDGs;Environmental
;245;Forest area;Forest area;Natural Capital;Land and Ecosystems ;Forest;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
52;246;Land intake North sea;Land intake - North sea;Natural Capital;Land and Ecosystems ;Footprint;Here and now, Later;Strategic;Value Creation ;Lenght;City;Sustainability;5_EVMRA;Environmental
38;247;Agriculture footprint;Agriculture footprint;Natural Capital;Land and Ecosystems ;Footprint;Here and now, Later;;Adverse Outcome;Lenght;;Sustainability;4_Stadsdonut;Environmental
83;248;Green space types;Types of green space within the city;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;Value Creation ;Lenght;Neighborhood;Sustainability;1_StaatVDS;Environmental
;249;Nature per capita;Nature per capita;Natural Capital;Land and Ecosystems ;Land use;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
;250;Nature and forest area;Nature and forest area;Natural Capital;Land and Ecosystems ;Forest;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
37;251;Non-recyclable waste;Country Non-recyclable waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;Resource Flow;Mass;;Sustainability;4_Stadsdonut;Environmental
74;252;Raw petroleum products;Consumption of raw petroleum and petroleum products;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
;253;Separation household waste;Separation household waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
;254;Waste industry;Waste industry;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
10;255;Raw material loss;Raw material loss rate;Natural Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Tactical;Resource Flow;Mass;;Sustainability;3_ACM;Environmental
57;256;Import metals-LDC;Import metals from LDCs;Natural Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;257;Material consumption;Material consumption;Natural Capital;Non-Energy Resources;Consumption;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
;258;Waste households;Waste households;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
80;259;Waste method;Waste processing method;Natural Capital;Non-Energy Resources;Waste;Here and now;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
8;260;Share unknown;Share unknown;Natural Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Tactical;Resource Flow;Mass;;Sustainability;3_ACM;Environmental
;261;Waste industry;Waste industry;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
73;262;Raw metal residues;Consumption of raw metal residues;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
72;263;Raw metals semi-finished prod.;Consumption of raw metals, metal semi-finished products;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
44;264;Household residual waste;Household residual waste;Natural Capital;Non-Energy Resources;Waste;Here and now, Later;;Adverse Outcome;Mass;City;Sustainability;5_EVMRA;Environmental
78;265;Household waste;Total household waste per inhabitant;Natural Capital;Non-Energy Resources;Waste;Here and now;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
;266;Household residual waste;Size of household residual waste;Natural Capital;Non-Energy Resources;Waste;;;;;;Sustainability;11_BBV;Environmental
6;267;Waste generated;Amount of waste generated;Natural Capital;Non-Energy Resources;Resources;Here and now;Strategic;Adverse Outcome;Mass;;Sustainability;3_ACM;Environmental
77;268;Raw agricultural products;Consumption of raw agricultural products and live animals;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
7;269;Share recycling;Share of recycling;Natural Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Sustainability;3_ACM;Environmental
59;270;Imports non-metallic minerals-LDC;Imports of non-metallic minerals from LDCs;Natural Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;271;Total amount of waste;Total amount of waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
79;272;Household waste categories;Household waste per categorie;Natural Capital;Non-Energy Resources;Waste;Here and now;;Resource Flow;Mass;City;Sustainability;1_StaatVDS;Environmental
;273;Separation household waste;Separation household waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
;274;Material consumption;Material consumption;Natural Capital;Non-Energy Resources;Consumption;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
58;275;Imports non-metallic minerals;Imports of non-metallic minerals;Natural Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
28;276;Waste separation rate;Waste separation rate;Natural Capital;Non-Energy Resources;Waste;Here and now, Later, Elsewhere;;;;City;Sustainability;2_BWMRA;Environmental
76;277;Raw food - animal feed;Consumption of raw food products and animal feed;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
56;278;Import metals;Import metals;Natural Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Sustainability;6_RMBW;Environmental
;279;Total amount of waste;Total amount of waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
;280;Waste households;Waste households;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
71;281;Raw minerals build materials;Consumption of raw raw minerals and building materials;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
70;282;Cons. raw fertilizers;Consumption of raw fertilizers;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
19;283;Waste per inhabitant;Waste per inhabitant;Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Sustainability;2_BWMRA;Environmental
69;284;Cons. Raw Chemicals;Consumption of raw chemical products;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
101;285;Materials transport modes Energy;Materials per mode of transport - Energy;Natural Capital;Non-Energy Resources;Consumption;Here and now;;Resource Flow;Mass;City;Sustainability;1_StaatVDS;Environmental
75;286;Raw solid mineral fuels;Consumption of raw solid mineral fuels;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Sustainability;1_StaatVDS;Environmental
;287;Groundwater levels;Groundwater levels;Natural Capital;Water;Abstraction;Here and now, Later;;;;;Sustainability;9_SDGs;Environmental
42;288;Water Fresh abstraction;Water Fresh water abstraction;Natural Capital;Water;Abstraction;Here and now, Later, Elsewhere;Tactical;Resource Flow;Volume;National;Sustainability;4_Stadsdonut;Environmental
;289;Sewage charges;Sewage charges;Natural Capital;Water;Consumption;Here and now;;;;;Better admin;9_SDGs;Environmental
27;290;Water supply;Water supply;Natural Capital;Water;Resources;Here and now, Later;Tactical;Value Creation ;Volume;City;Sustainability;4_Stadsdonut;Environmental
;291;Groundwater levels;Groundwater levels;Natural Capital;Water;Abstraction;Here and now, Later;;;;;Sustainability;10_DBoom;Environmental
41;292;Groundwater extraction;Groundwater extraction;Natural Capital;Water;Abstraction;Here and now, Later;;System Condition;Unit per capita;;Sustainability;6_RMBW;Environmental
;293;Water quality;Water quality;Natural Capital;Water;Water quality;Later, Elsewhere;;;;;Sustainability;10_DBoom;Environmental
;294;Water quality;Water quality;Natural Capital;Water;Water quality;Later, Elsewhere;;;;;Sustainability;9_SDGs;Environmental
;295;Sewage charges;Sewage charges;Natural Capital;Water;Consumption;Here and now;;;;;Better admin;10_DBoom;Environmental
89;296;Groundwater;Groundwater level;Natural Capital;Water;Resources;Here and now, Later;;Resource Flow;Volume;Neighborhood;Sustainability;1_StaatVDS;Environmental
41;297;Excessive fertilizer use;Pollution of water with excess fertilizers;Natural Capital;Water;Emissions to water;Here and Now, Elsewhere;Tactical;Adverse Outcome;Amount substance;National;Sustainability;4_Stadsdonut;Environmental
26;298;Quality bathing inland water ;Quality of bathing water in inland waters;Natural Capital;Water;Water quality;Here and now, Later;Strategic;System Condition;Index;;Sustainability;6_RMBW;Environmental
40;299;Good chemical quality surface water;Good chemical quality surface water;Natural Capital;Water;Water quality;Here and now, Later;;System Condition;Index;;Sustainability;6_RMBW;Environmental
;300;Children on social assistence;Children on social assistence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Together;9_SDGs;Economic
;301;Minimum income;Minimum income;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
10;302;Amount of working hours;Amount of working hours;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;;Equal opp;1_StaatVDS;Economic
24;303;Energy poverty;Energy poverty;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;Adverse Outcome;Population;City;Sustainability;7_Klimaat;Economic
;304;Food packages;Food packages;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
65;305;Savings banks NL;Savings at banks in the Netherlands;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;System Condition;Monetary;;Growth;6_RMBW;Economic
;306;Children on social assistence;Children on social assistence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Together;10_DBoom;Economic
15;307;Social assistance entitled;Social assistance entitled;Quality of Life;Consumption and Income;Distribution-Income;Here and now;Tactical;Adverse Outcome;Households;Neighborhood;Equal opp;4_Stadsdonut;Economic
199;308;Smartphone Ownership;Smartphone Ownership;Quality of Life;Consumption and Income;Consumption;Here and now;;System Condition;People;Neighborhood;Equal opp;1_StaatVDS;Economic
;309;Registered debts;Registered debts;Quality of Life;Consumption and Income;Debt;Here and now;;;;;Growth;9_SDGs;Economic
9;310;Income level;Income level;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Equal opp;1_StaatVDS;Economic
6;311;Food bank usage;Households using food bank;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;Tactical;Adverse Outcome;Households;Neighborhood;Equal opp;4_Stadsdonut;Economic
;312;Social assistence;Social assistence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;313;Income inequality;Income inequality;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
;314;Energy poverty;Energy poverty;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;315;Energy poor in social housing;Energy poor in social housing;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
67;316;Low income-little wealth;Low income and little wealth;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;Adverse Outcome;Population;;Equal opp;6_RMBW;Economic
;317;Problematic debts;Problematic debts;Quality of Life;Consumption and Income;Debt;Here and now;;;;;Growth;10_DBoom;Economic
;318;Poverty;Poverty;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;10_DBoom;Economic
;319;Minimum income;Minimum income;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
72;320;Employed permanent contract;% of employees in sector with permanent contract;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal opp;8_Duurzame;Economic
35;321;Life satis-financial resources;Life satisfaction - The financial resources of your household;Quality of Life;Consumption and Income;Subjective-material;Here and now;;System Condition;Index;;Equal opp;1_StaatVDS;Economic
142;322;Poverty food bank;Poverty food bank;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal opp;1_StaatVDS;Economic
;323;Energy poverty;Energy poverty;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;324;Energy ratio;Energy ratio;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;325;Hourly wages per gender;Hourly wages per gender;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
175;326;Financial situation COVID-19;Income deteriorated during corona;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Households;Neighborhood;Growth;1_StaatVDS;Economic
;327;Economic independence;Economic independence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
;328;Disability benefits;Disability benefits;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;;Equal opp;10_DBoom;Economic
;329;Social assistance;Social assistance;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;330;Children in benefit families;Children in benefit families;Quality of Life;Consumption and Income;Distribution-Income;;;;;;Growth;11_BBV;Economic
14;331;Average standardized income;Average standardized income;Quality of Life;Consumption and Income;Disposable income;Here and now;;;;City;Equal opp;2_BWMRA;Economic
;332;Wealth inequality median;Wealth inequality median;Quality of Life;Consumption and Income;Savings;Here and now;;;;;Growth;9_SDGs;Economic
3;333;Welfare benefits;Number of welfare benefits (bijstand);Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal opp;8_Duurzame;Economic
4;334;TOZO 4;Number of TOZO 4 allocations;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal opp;8_Duurzame;Economic
;335;Economic independence per type;Economic independence per type;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
;336;Social assistance;Social assistance;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;10_DBoom;Economic
;337;Problematic debts;Problematic debts;Quality of Life;Consumption and Income;Debt;Here and now;;;;;Growth;9_SDGs;Economic
;338;Poverty;Poverty;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;339;Standardized income;Standardized income;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
;340;Income distribution;Income distribution;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
;341;Economic independence per type;Economic independence per type;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
135;342;Economic independence;Economic independence;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal opp;1_StaatVDS;Economic
136;343;Wealth;Wealth;Quality of Life;Consumption and Income;Income;Here and now;;;Monetary;Neighborhood;Equal opp;1_StaatVDS;Economic
;344;Hourly wages per gender;Hourly wages per gender;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
;345;Economic independence;Economic independence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
;346;Income inequality;Income inequality;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
;347;Persons on welfare benefits;Persons on welfare benefits;Quality of Life;Consumption and Income;Official Development Assistance;;;;;;Growth;11_BBV;Economic
4;348;Disposable income;Median disposable income;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;Project outcome;System Condition;Monetary;Neighborhood;Equal opp;6_RMBW;Economic
170;349;Income distribution;Income distribution;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Equal opp;1_StaatVDS;Economic
171;350;Hourly wages;Hourly wages;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Equal opp;1_StaatVDS;Economic
172;351;Household debt ;Household debt;Quality of Life;Consumption and Income;Debt;Here and now;;System Condition;Monetary;Neighborhood;Equal opp;1_StaatVDS;Economic
;352;Income spent on housing;Income spent on housing;Quality of Life;Consumption and Income;Consumption;Here and now;;;;;Growth;10_DBoom;Economic
;353;Gini coefficient;Gini coefficient;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;10_DBoom;Economic
177;354;Collective Health Insurance;;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Households;;Equal opp;1_StaatVDS;Economic
;355;Wealth inequality median;Wealth inequality median;Quality of Life;Consumption and Income;Savings;Here and now;;;;;Growth;10_DBoom;Economic
140;356;Poverty - low income;Poverty - low income;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;;Equal opp;1_StaatVDS;Economic
137;357;Problematic debts;Problematic debts;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Neighborhood;Equal opp;1_StaatVDS;Economic
;358;Gini coefficient;Gini coefficient;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Growth;9_SDGs;Economic
71;359;Employed 10-20;% of employees in sector with hourly wages between €10 and €20;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal opp;8_Duurzame;Economic
144;360;Reach of regulations and services;Reach of regulations and services for low incomes;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;;Equal opp;1_StaatVDS;Economic
73;361;Employed fulltime;%employees in sector with full-time job;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal opp;8_Duurzame;Economic
141;362;Poverty - minima;Poverty - minima;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;;Equal opp;1_StaatVDS;Economic
143;363;Making ends meet;Making ends meet;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;city;Equal opp;1_StaatVDS;Economic
138;364;Problematic debts self-rep;Problematic debts self-report;Quality of Life;Consumption and Income;Income;Here and now, Later;;;;Stadsdeel;Equal opp;1_StaatVDS;Economic
;365;Energy poor in social housing;Energy poor in social housing;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;10_DBoom;Economic
;366;Social assistance and benefits ;Social assistance and benefits ;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;9_SDGs;Economic
;367;Registered debts;Registered debts;Quality of Life;Consumption and Income;Debt;Here and now;;;;;Growth;10_DBoom;Economic
;368;Energy poverty;Energy poverty;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal opp;10_DBoom;Economic
